# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	582
#@/user_id	29c084a4-a1b2-43db-897a-9fc57eac2c65
a 	啊	c=1 d=1 t=569
qi ta 	其他	c=3 d=1.55429 t=517
qian 	前	c=1 d=0.97531 t=582
qian jian pan 	前劍盤	c=1 d=1 t=212
qian qi 	前妻	c=1 d=0.918512 t=582
qie huan 	切換	c=0 d=0.118637 t=580
qie huan chuang kou 	切換窗口	c=2 d=1.8825 t=270
qie huan shu ru fa zhuang tai 	切換輸入法狀態	c=1 d=1 t=581
qing bu zi jin 	情不自禁	c=1 d=1 t=131
qing chen 	清晨	c=1 d=1 t=105
qing fu 	情夫	c=1 d=0.960789 t=582
qing xiang yu 	傾向於	c=0 d=0.1 t=383
quan jian pan 	全鍵盤	c=1 d=1 t=213
ri luo 	日落	c=0 d=0.1 t=108
ri luo shi 	日落時	c=1 d=1 t=109
ru guo mei you 	如果沒有	c=0 d=0.1 t=402
ru guo mei you neng li 	如果沒有能力	c=1 d=1 t=403
ru he 	如何	c=1 d=1.01177 t=500
ru he lian xi 	如何練習	c=1 d=1 t=73
ruan jian 	軟件	c=5 d=1.79855 t=511
san bu 	散步	c=2 d=1.96561 t=107
shang 	上	c=3 d=2.59427 t=274
shang ci 	上次	c=1 d=1 t=252
shang xia 	上下	c=1 d=1 t=335
shang yi ge 	上一個	c=1 d=1 t=425
sheng tai 	生態	c=5 d=4.38207 t=542
sheng wu 	生物	c=1 d=1 t=344
shi 	是	c=1 d=1 t=59
shi 	時	c=0 d=0.1 t=108
shi bie 	識別	c=2 d=1.99005 t=196
shi he 	適合	c=2 d=1.99005 t=377
shi pin 	視頻	c=0 d=0.0985112 t=582
shi pin bian ji qi 	視頻編輯器	c=1 d=0.99005 t=582
shi ren 	使人	c=1 d=1 t=128
shi yong 	使用	c=1 d=1.03166 t=508
shi zhang 	視障	c=1 d=1 t=186
shi zhi 	食指	c=3 d=2.97032 t=145
shou xie 	手寫	c=3 d=2.68087 t=219
shou xie shu ru fa 	手寫輸入法	c=1 d=1 t=176
shu biao 	鼠標	c=3 d=1.36782 t=556
shu ju 	數據	c=0 d=0.1 t=458
shu ju ku 	數據庫	c=2 d=1.98511 t=525
shu ju xia zai 	數據下載	c=1 d=1 t=459
shu ru 	輸入	c=3 d=0.904837 t=582
shu ru fa 	輸入法	c=20 d=3.81608 t=582
shu xu guan 	鼠鬚管	c=1 d=0.955997 t=582
shuang pin 	雙拼	c=3 d=3.1965 t=233
shui ping 	水平	c=1 d=1.09656 t=328
shui ping chuang kou 	水平窗口	c=1 d=1 t=322
shuo 	說	c=1 d=1 t=572
si wang 	死亡	c=2 d=1.9802 t=346
si wang yuan yin 	死亡原因	c=3 d=2.98506 t=351
si wei 	思維	c=0 d=0.1 t=454
si wei dao tu 	思維導圖	c=1 d=1 t=455
si yin 	死因	c=2 d=1.99501 t=354
sou 	搜	c=2 d=1.97531 t=480
sou gou 	搜狗	c=1 d=1 t=228
sou suo 	搜索	c=12 d=11.6572 t=488
su 	蘇	c=1 d=1 t=371
su lian 	蘇聯	c=1 d=1 t=471
suo you 	所有	c=1 d=1 t=317
suo zai 	所在	c=1 d=1 t=254
ta 	他	c=2 d=1.84366 t=125
ta men 	他們	c=2 d=1.94176 t=115
tang wei 	湯唯	c=1 d=1 t=64
tiao zheng 	調整	c=1 d=1 t=293
ting zhang 	聽障	c=1 d=1 t=188
tong xing 	通行	c=0 d=0.1 t=537
tong xing mi yao 	通行密鑰	c=1 d=1 t=538
tu 	圖	c=0 d=0.1 t=454
tui chu 	退出	c=1 d=1 t=311
tuo bei 	駝背	c=2 d=1.99005 t=120
wan cheng 	完成	c=1 d=1.19303 t=436
wan cheng bu quan 	完成補全	c=1 d=1 t=437
wan cheng er he na ge bu quan 	完成而和那個補全	c=2 d=1.99501 t=434
wan shua 	玩耍	c=1 d=1 t=101
wang 	汪	c=0 d=0.1 t=459
wang bao qiang 	王寶強	c=1 d=0.913931 t=582
wang ji le 	忘記了	c=0 d=0.1 t=129
wang ji le ku men 	忘記了苦悶	c=1 d=1 t=130
wang xiao min 	汪小敏	c=1 d=1 t=460
wang yi 	網易	c=0 d=0.1 t=453
wang yi yun 	網易雲	c=1 d=1 t=454
wang zhan 	網站	c=1 d=1 t=464
wei 	爲	c=1 d=1 t=574
wei he 	爲何	c=0 d=0.1 t=366
wei he bu zhong 	爲何不忠	c=1 d=1 t=367
wei ruan 	微軟	c=0 d=0.1 t=231
wei ruan shuang pin 	微軟雙拼	c=1 d=1 t=232
wei shen me 	爲什麼	c=0 d=0.1 t=364
wei xian guan xi 	危險關係	c=1 d=1 t=362
wei zhi 	位置	c=0 d=0.1 t=261
wei zhi diao huan 	位置調換	c=1 d=1 t=262
wen ben 	文本	c=1 d=1.06079 t=393
wen ben nei rong 	文本內容	c=1 d=1 t=394
wen dang 	文檔	c=2 d=2.07333 t=449
wen jian 	文件	c=0 d=0.197045 t=331
wen zi 	文字	c=1 d=0.676909 t=582
wo 	我	c=2 d=1.08119 t=582
wo de 	我的	c=1 d=0.937067 t=582
wo gan shen me bu gan ni 	我幹什麼不干你	c=2 d=1.93605 t=582
wo men 	我們	c=0 d=0.13588 t=569
wo men jiu shi 	我們就是	c=1 d=1 t=570
wo men wei shen me jie hun 	我們爲什麼結婚	c=1 d=1 t=365
wu 	無	c=0 d=0.1 t=81
wu bi 	五筆	c=3 d=2.49655 t=217
wu bi hua 	五筆畫	c=1 d=1 t=172
wu ming zhi 	無名指	c=1 d=1 t=138
wu xu zhu ce 	無需註冊	c=1 d=1 t=82
xi hao 	喜好	c=1 d=1 t=94
xi xi 	嬉戲	c=1 d=1 t=95
xia yi 	下一	c=1 d=1 t=247
xia yi dai 	下一代	c=1 d=1 t=336
xia yi ge 	下一個	c=1 d=1 t=259
xia zai 	下載	c=0 d=0.1 t=458
xian dai 	現代	c=1 d=0.941765 t=582
xian ren 	現任	c=1 d=0.927743 t=582
xian shi 	現實	c=1 d=1 t=489
xian shi 	顯示	c=1 d=1 t=331
xiang 	向	c=1 d=1 t=265
xiang 	項	c=0 d=0.1 t=552
xiang shang 	向上	c=0 d=0.1 t=446
xiang shang gun dong 	向上滾動	c=1 d=1 t=447
xiang tu 	鄉土	c=1 d=1 t=358
xiang xia 	向下	c=1 d=0.514783 t=444
xiang xia gun dong 	向下滾動	c=1 d=1 t=445
xiao 	小	c=0 d=0.1 t=232
xiao he shuang pin 	小鶴雙拼	c=1 d=1 t=233
xiao hua 	笑話	c=1 d=1.09656 t=473
xiao min 	小敏	c=0 d=0.1 t=459
xiao mu zhi 	小拇指	c=1 d=1 t=137
xin 	新	c=0 d=0.1 t=325
xin de 	新的	c=1 d=1 t=290
xin jian 	新建	c=3 d=2.93124 t=327
xin shi ji 	新世紀	c=0 d=0.1 t=226
xin shi ji ban 	新世紀版	c=1 d=1 t=227
xin wen jian 	新文件	c=1 d=1 t=326
xing ma 	形碼	c=2 d=1.8311 t=199
xing qing 	性情	c=1 d=1 t=92
xiong di 	兄弟	c=0 d=0.1 t=411
xiong di chan pin 	兄弟產品	c=12 d=9.87264 t=543
xu 	需	c=0 d=0.1 t=80
xu ni xian shi 	虛擬現實	c=1 d=1 t=490
xu yao 	需要	c=0 d=0.1 t=363
xu yao xue xi 	需要学习	c=1 d=1 t=364
xu zhu ce 	需註冊	c=1 d=1.1 t=81
xuan xiang 	選項	c=1 d=1 t=453
xuan yi 	懸疑	c=1 d=1 t=66
xuan ze 	玄则	c=1 d=1 t=421
xuan ze 	選擇	c=4 d=3.91635 t=430
xue xi 	学习	c=0 d=0.1 t=363
yan tan ju zhi 	言谈举止	c=1 d=1 t=127
yan zheng 	驗證	c=1 d=1 t=492
yang bu qi 	養不起	c=0 d=0.1 t=340
yang bu qi le 	養不起了	c=1 d=1 t=341
yang zi 	樣子	c=1 d=1 t=567
ye 	頁	c=0 d=0.1 t=290
yi dong 	移動	c=2 d=1.99005 t=271
yi ge 	一個	c=2 d=1.86936 t=117
yi lai 	依賴	c=3 d=2.98506 t=417
yi tian 	一天	c=1 d=1 t=102
yi xia zi 	一下子	c=1 d=1 t=129
yin cang 	隱藏	c=2 d=1.77492 t=501
yin si 	隱私	c=3 d=3.10538 t=552
yin si bao hu 	隱私保護	c=1 d=1 t=536
yin si xiang 	隱私項	c=1 d=1 t=553
